,idExpl,sum_askAffCounter,sum_doSEAffCounter,sum_floodAffCounter,sum_floodDRAffCounter
1,NA,0,0,0,0
2,1,14,0,42,6
3,2,31,0,408,71
4,NA,0,0,0,0
5,3,16,0,63,13
6,4,5,0,125,24
7,5,38,0,182,35
8,NA,0,0,0,0
9,NA,0,0,0,0
10,6,0,0,48,10
11,7,30,0,595,111
12,8,12,0,387,74
13,NA,0,0,0,0
14,9,31,0,119,18
15,NA,0,0,0,0
16,10,35,0,295,57
,,,,,419
,,,,,"26,1875"
