ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL
9472696;1,87;PRL;18;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9472697;0,59;PRL;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376632;0,44;BTH;1;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376560;2,24;LUZ;16;Gravitaire;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376636;0,11;PRL;18;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376624;0,85;BTH;1;Gravitaire;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376550;0,34;LU5;16;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376556;0,17;PRL;18;Gravitaire;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374947;0,57;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374936;0,23;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374948;0,31;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374954;0,4;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
375024;1,55;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374955;0,29;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
375026;0,16;PTR;19;Gravitaire;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374934;0,53;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9468912;0,25;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374943;0,7;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374939;0,27;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374945;0,36;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374949;1,53;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374956;0,21;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374937;0,28;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374938;0,11;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374952;0,8;BTH;1;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374951;0,35;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
435070;0,16;SNE;28;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405606;0,48;PPH;18;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405600;0,4;ORH;3;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405605;0,63;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405610;0,56;TTH;4;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405599;0,87;AVP;4;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405608;0,36;TTH;4;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405609;0,37;AVP;4;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405607;0,71;PPH;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405601;0,3;BTH;1;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420513;0,41;PTR;19;Gravitaire;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420684;0,44;TR6;16;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420690;0,25;ORH;3;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420691;0,54;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420519;0,91;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420687;3,4;TR6;16;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420688;0,24;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420692;0,79;LU6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420601;0,45;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420600;0,8;TR6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420507;0,16;LU6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420603;0,15;LU6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420612;0,39;PTR;19;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420593;2,31;TR6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420508;0,25;PTR;19;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420608;0,72;TR6;16;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420607;0,45;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420518;2,33;ORH;3;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420606;0,55;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420598;0,83;EPE;4;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420515;0,13;PTR;19;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420510;0,26;TR6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420509;0,58;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420511;0,26;PTR;19;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420672;0,86;TR6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420614;0,61;PPH;18;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
