ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL
376474;2,39;LU6;16;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376559;0,59;PRL;18;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376480;0,49;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376647;0,31;SPH;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376567;0,27;SPH;17;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376566;6,89;SPH;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
9472695;0,73;PRL;18;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9472698;0,23;PRL;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376637;3,8;LU5;16;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376638;0,91;SPH;17;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376543;1,56;ORH;3;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376643;0,54;PRL;18;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376644;0,08;PRL;18;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376541;1,1;PRL;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9472703;0,56;PRL;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376551;0,53;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376548;0,98;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376469;0,5;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376547;1,19;ORH;3;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376459;0,04;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
404031;1,06;MLG;16;0;005-16502;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
410626;2,3;BTH;1;0;005-15365;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9474717;0,1;SNE;28;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
435456;11,97;SNE;28;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
410037;0,29;SNE;28;0;005-16502;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
9475054;0,26;BTA;28;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
